  0.0s|     1 |     0 |    23 |     - |2847k|   0 |   0 |  89 |1037 |  89 |1035 |   0 |   0 |   0 |      --      |      --      |    Inf 
  1.1s|     1 |     0 |  2226 |     - |  14M|   0 |   0 |2247 |1037 | 243 |1035 |   0 |   0 |   0 |      --      |      --      |    Inf 
  1.2s|     1 |     0 |  2226 |     - |  14M|   0 |   0 |2247 |1037 | 243 |1035 |   0 |   0 |   0 | 1.119461e+03 |      --      |    Inf 
  1.2s|     1 |     0 |  2383 |     - |  30M|   0 |   0 |2297 |1037 | 746 |1085 |  50 |   0 |   0 | 1.119461e+03 |      --      |    Inf 
  1.6s|     1 |     0 |  2550 |     - |  30M|   0 |   0 |2379 |1037 | 790 |1085 |  50 |   0 |   0 | 1.129679e+03 |      --      |    Inf 
  1.7s|     1 |     0 |  2692 |     - |  47M|   0 |   0 |2429 |1037 | 841 |1135 | 100 |   0 |   0 | 1.129679e+03 |      --      |    Inf 
  2.1s|     1 |     0 |  2836 |     - |  47M|   0 |   0 |2500 |1037 | 894 |1135 | 100 |   0 |   0 | 1.137911e+03 |      --      |    Inf 
  2.1s|     1 |     0 |  2913 |     - |  53M|   0 |   0 |2530 |1037 | 882 |1165 | 130 |   0 |   0 | 1.137911e+03 |      --      |    Inf 
  2.4s|     1 |     0 |  2964 |     - |  53M|   0 |   0 |2555 |1037 | 873 |1165 | 130 |   0 |   0 | 1.138889e+03 |      --      |    Inf 
  2.4s|     1 |     0 |  3015 |     - |  63M|   0 |   0 |2579 |1037 | 877 |1189 | 154 |   0 |   0 | 1.138889e+03 |      --      |    Inf 
  2.8s|     1 |     0 |  3054 |     - |  63M|   0 |   0 |2616 |1037 | 882 |1189 | 154 |   0 |   0 | 1.139174e+03 |      --      |    Inf 
  2.9s|     1 |     0 |  3081 |     - |  76M|   0 |   0 |2657 |1037 | 885 |1230 | 195 |   0 |   0 | 1.139174e+03 |      --      |    Inf 
  3.6s|     1 |     0 |  3121 |     - |  76M|   0 |   0 |2671 |1037 | 867 |1230 | 195 |   0 |   0 | 1.139290e+03 |      --      |    Inf 
  3.7s|     1 |     0 |  3123 |     - |  76M|   0 |   0 |2673 |1037 | 867 |1232 | 197 |   0 |   0 | 1.139293e+03 |      --      |    Inf 
  3.8s|     1 |     2 |  3318 |     - |  76M|   0 |   0 |2673 |1037 | 867 |1232 | 197 |   0 |   0 | 1.139293e+03 |      --      |    Inf 
 11.7s|     8 |     7 |  6873 | 535.7 | 110M|   7 |   0 |3283 |1037 | 413 |1354 | 312 |   0 |   0 | 1.139293e+03 | 1.148000e+03 |   0.76%
 17.1s|    14 |     7 |  9287 | 474.2 | 114M|   9 |   0 |3679 |1037 | 348 |1336 | 329 |   0 |   0 | 1.139293e+03 | 1.147000e+03 |   0.68%
 36.0s|    29 |     4 | 17224 | 503.6 | 185M|   9 |   0 |4768 |1037 | 527 |1477 | 640 |   0 |   0 | 1.139293e+03 | 1.146000e+03 |   0.59%
